natural_object|artifact, artefact
carinate|ratite, ratite_bird, flightless_bird
carinate_bird|ratite, ratite_bird, flightless_bird
flying_bird|ratite, ratite_bird, flightless_bird
anapsid|diapsid, diapsid_reptile
anapsid_reptile|diapsid, diapsid_reptile
diapsid|anapsid, anapsid_reptile
diapsid_reptile|anapsid, anapsid_reptile
diving_duck|dabbling_duck, dabbler
dabbling_duck|diving_duck
dabbler|diving_duck
zygodactyl_foot|heterodactyl_foot
heterodactyl_foot|zygodactyl_foot
odd-toed_ungulate|even-toed_ungulate, artiodactyl, artiodactyl_mammal
perissodactyl|even-toed_ungulate, artiodactyl, artiodactyl_mammal
perissodactyl_mammal|even-toed_ungulate, artiodactyl, artiodactyl_mammal
even-toed_ungulate|odd-toed_ungulate, perissodactyl, perissodactyl_mammal
artiodactyl|odd-toed_ungulate, perissodactyl, perissodactyl_mammal
artiodactyl_mammal|odd-toed_ungulate, perissodactyl, perissodactyl_mammal
heterocercal_fin|homocercal_fin
homocercal_fin|heterocercal_fin
plantigrade_mammal|digitigrade_mammal, digitigrade
plantigrade|digitigrade_mammal, digitigrade
digitigrade_mammal|plantigrade_mammal, plantigrade
digitigrade|plantigrade_mammal, plantigrade
spiny-finned_fish|soft-finned_fish, malacopterygian
acanthopterygian|soft-finned_fish, malacopterygian
alto_relievo|bas_relief, low_relief, basso_relievo, basso_rilievo
alto_rilievo|bas_relief, low_relief, basso_relievo, basso_rilievo
high_relief|bas_relief, low_relief, basso_relievo, basso_rilievo
anode|cathode
anode|cathode
antagonist|synergist
baseball_diamond|outfield
diamond|outfield
infield|outfield
bas_relief|alto_relievo, alto_rilievo, high_relief
low_relief|alto_relievo, alto_rilievo, high_relief
basso_relievo|alto_relievo, alto_rilievo, high_relief
basso_rilievo|alto_relievo, alto_rilievo, high_relief
black|white
blunt_file|taper_file
brand-name_drug|generic_drug
proprietary_drug|generic_drug
cathode|anode
cathode|anode
closed_circuit|open_circuit
loop|open_circuit
custom-made|ready-made
custom-built|ready-made
dedicated_file_server|non-dedicated_file_server
dry-bulb_thermometer|wet-bulb_thermometer
dry_fly|wet_fly
dumb_bomb|smart_bomb
gravity_bomb|smart_bomb
electrolytic_cell|voltaic_cell, galvanic_cell, primary_cell
export|import, importation
exportation|import, importation
express|local
limited|local
fast_lane|slow_lane
fast_reactor|thermal_reactor
front|rear, back
generic_drug|brand-name_drug, proprietary_drug
hand_mower|power_mower, motor_mower
hard_drug|soft_drug
hardware|software, software_program, computer_software, software_system, software_package, package
computer_hardware|software, software_program, computer_software, software_system, software_package, package
head|tail
import|export, exportation
importation|export, exportation
in-basket|out-basket, out-tray
in-tray|out-basket, out-tray
larboard|starboard
port|starboard
local|express, limited
location|studio
mobile|stabile
non-dedicated_file_server|dedicated_file_server
non-volatile_storage|volatile_storage, volatile_storage
nonvolatile_storage|volatile_storage, volatile_storage
obverse|reverse, verso
open_circuit|closed_circuit, loop
out-basket|in-basket, in-tray
out-tray|in-basket, in-tray
outfield|baseball_diamond, diamond, infield
overgarment|undergarment, unmentionable
outer_garment|undergarment, unmentionable
over-the-counter_drug|prescription_drug, prescription, prescription_medicine, ethical_drug, prescription_drug, prescription, prescription_medicine, ethical_drug
over-the-counter_medicine|prescription_drug, prescription, prescription_medicine, ethical_drug, prescription_drug, prescription, prescription_medicine, ethical_drug
power_mower|hand_mower
motor_mower|hand_mower
prescription_drug|over-the-counter_drug, over-the-counter_medicine, over-the-counter_drug, over-the-counter_medicine
prescription|over-the-counter_drug, over-the-counter_medicine, over-the-counter_drug, over-the-counter_medicine
prescription_medicine|over-the-counter_drug, over-the-counter_medicine, over-the-counter_drug, over-the-counter_medicine
ethical_drug|over-the-counter_drug, over-the-counter_medicine, over-the-counter_drug, over-the-counter_medicine
ready-made|custom-made, custom-built
rear|front
back|front
reverse|obverse
verso|obverse
rotor|stator, stator_coil
rotor_coil|stator, stator_coil
slow_lane|fast_lane
smart_bomb|dumb_bomb, gravity_bomb
soft_drug|hard_drug
stabile|mobile
starboard|larboard, port
stator|rotor, rotor_coil
stator_coil|rotor, rotor_coil
studio|location
submersible|surface_ship
submersible_warship|surface_ship
surface_ship|submersible, submersible_warship
synergist|antagonist
tail|head
taper_file|blunt_file
thermal_reactor|fast_reactor
undergarment|overgarment, outer_garment
unmentionable|overgarment, outer_garment
volatile_storage|non-volatile_storage, nonvolatile_storage, non-volatile_storage, nonvolatile_storage
voltaic_cell|electrolytic_cell
galvanic_cell|electrolytic_cell
primary_cell|electrolytic_cell
wet-bulb_thermometer|dry-bulb_thermometer
wet_fly|dry_fly
white|black
outwardness|inwardness, internality
inwardness|outwardness
internality|outwardness
spirituality|worldliness
spiritualism|worldliness
spiritism|worldliness
otherworldliness|worldliness
worldliness|spirituality, spiritualism, spiritism, otherworldliness
extraversion|introversion, ambiversion
extroversion|introversion, ambiversion
introversion|ambiversion, extraversion, extroversion
ambiversion|extraversion, extroversion, introversion
emotionality|unemotionality, emotionlessness
emotionalism|unemotionality, emotionlessness
unemotionality|emotionality, emotionalism
emotionlessness|emotionality, emotionalism
cheerfulness|uncheerfulness
cheer|uncheerfulness
sunniness|uncheerfulness
